ref,itemDescriptionEN,brand,nameEN,encodeNameEN,title,description,full_description
022631OB,Hair Alchemy Shampoo,Oribe,Hair Loss,hair/hair-loss/shampoo,Hair Alchemy Resilience Shampoo Ultra-Nourishing,"Transform fragile hair with Oribe Hair Alchemy Resilience Shampoo. Strengthen from within, prevent breakage, and reveal long, resilient locks.Empower Your Hair, Strand by Strand!Key Benefits:Prevents breakage and hair fall for healthier, longer hairStrengthens fragile strands from the rootProtects against environmental and styling damageEnhances elasticity and tensile strengthGently cleanses without stripping moistureActive Ingredients:Curative blend: Chia seed, bamboo leaf, and plant-based protein fortify hair from the inside out.Multi-action hyaluronic acid complex: Delivers deep hydration and elasticity.Oribe signature complex: Protects against oxidative stress and environmental damage.Daisy and honeysuckle extracts: Fortify roots and ends for length and resilience.Oribe Hair Alchemy Resilience Shampoo combines innovative science and nature’s power to fortify fragile hair, leaving it strong, healthy, and radiant. Perfect for anyone seeking length, strength, and enduring beauty.","Oribe Hair Alchemy Shampoo Transform fragile hair with Oribe Hair Alchemy Resilience Shampoo. Strengthen from within, prevent breakage, and reveal long, resilient locks.Empower Your Hair, Strand by Strand!Key Benefits:Prevents breakage and hair fall for healthier, longer hairStrengthens fragile strands from the rootProtects against environmental and styling damageEnhances elasticity and tensile strengthGently cleanses without stripping moistureActive Ingredients:Curative blend: Chia seed, bamboo leaf, and plant-based protein fortify hair from the inside out.Multi-action hyaluronic acid complex: Delivers deep hydration and elasticity.Oribe signature complex: Protects against oxidative stress and environmental damage.Daisy and honeysuckle extracts: Fortify roots and ends for length and resilience.Oribe Hair Alchemy Resilience Shampoo combines innovative science and nature’s power to fortify fragile hair, leaving it strong, healthy, and radiant. Perfect for anyone seeking length, strength, and enduring beauty."
018407CL,La Base Mascara,Chanel,Masks,makeup/eyes-brows/mascara,La Base Mascara Eyelashes Volume Treatment,"La Base Mascara de ChanelThe technology revolution for volumous eyelashes!The honeycomb structure of the applicator helps in the dose of right amount of product.Printed on an unique material, the brush allows acorrect application on the first stroke fora more volumous eyelashes in one stroke!Its formula includes:a combination of waxes (beeswax and rice wax) and a rich texture that protects and makes the base of the eyelashes thicker;a polymer that ensures extreme volume without clumping until completely removed;pro-vitamin with nourishing effect that strengthens the eyelashes in each application.Suitable for contact lens wearers.","Chanel La Base Mascara La Base Mascara de ChanelThe technology revolution for volumous eyelashes!The honeycomb structure of the applicator helps in the dose of right amount of product.Printed on an unique material, the brush allows acorrect application on the first stroke fora more volumous eyelashes in one stroke!Its formula includes:a combination of waxes (beeswax and rice wax) and a rich texture that protects and makes the base of the eyelashes thicker;a polymer that ensures extreme volume without clumping until completely removed;pro-vitamin with nourishing effect that strengthens the eyelashes in each application.Suitable for contact lens wearers."
012970NZ,Sun Light Fluid Sunscreen,Nuxe,Normal Skin,sun-tan/face/normal-skin,Sun Light Fluid SPF50 Sunscreen,"Nuxe Sun light fluid, provides a sense of freshness and lasting comfort!   Protect your body, protect your tan!   This light sunscreen consists of water and sun flowers andoffers protection against cellular aging!  Ideal for normal to combination skin.  Prevents the appearance of spots on the body and doesn t stain!  Non comedogenic.","Nuxe Sun Light Fluid Sunscreen Nuxe Sun light fluid, provides a sense of freshness and lasting comfort!   Protect your body, protect your tan!   This light sunscreen consists of water and sun flowers andoffers protection against cellular aging!  Ideal for normal to combination skin.  Prevents the appearance of spots on the body and doesn t stain!  Non comedogenic."
020687HI,Body Goals,GHD,Styling,hair/styling,Body Goals Total Volume Foam,"Achieve professional-level volume with Body Goals.Say hello to fuller, voluminous hair!Key benefits:Lightweight mousse for professional-level volume;Contains the GHD heat protection system for hair integrity;Forms an invisible shield to prevent hair cuticle lifting;Delivers fuller body with an invisible feel;Developed by GHD stylists and heat experts for superior results.This innovative mousse provides long-lasting volume while protecting hair integrity with the GHD heat protection system. Say goodbye to flat, lifeless hair and hello to fuller, voluminous locks with Body Goals.","GHD Body Goals Achieve professional-level volume with Body Goals.Say hello to fuller, voluminous hair!Key benefits:Lightweight mousse for professional-level volume;Contains the GHD heat protection system for hair integrity;Forms an invisible shield to prevent hair cuticle lifting;Delivers fuller body with an invisible feel;Developed by GHD stylists and heat experts for superior results.This innovative mousse provides long-lasting volume while protecting hair integrity with the GHD heat protection system. Say goodbye to flat, lifeless hair and hello to fuller, voluminous locks with Body Goals."
023493XG,Fructis Liso Keratina Mask Nº3,Garnier,Masks,hair/frizz-unruly-hair/masks,Fructis Liso Keratina Mask Nº3 for Frizzy Hair,"Fight frizz and boost shine! Garnier Fructis Liso Keratina Mask Nº3 deeply nourishes for 4 days of smooth, silky hair — silicone-free and vegan.Frizz control, intense shine — naturally smooth!Key Benefits:Deeply nourishes for silky-smooth hair;Controls frizz and enhances shine for up to 4 days;Lightweight, silicone-free, and vegan formula;Follows the Keratina Smoothing Method for lasting sleekness.Active Ingredients:Vegetable Keratin Plumbing Complex: strengthens and smooths hair.Argan Oil: deeply hydrates and boosts shine.Garnier Fructis Liso Keratina Mask Nº3 is the ultimate treatment for frizz-prone hair. Its rich yet lightweight formula smooths every strand without heaviness, leaving hair soft, shiny, and perfectly manageable. Complete the routine with Serum N°4 for up to 10 days of straight, glossy hair.","Garnier Fructis Liso Keratina Mask Nº3 Fight frizz and boost shine! Garnier Fructis Liso Keratina Mask Nº3 deeply nourishes for 4 days of smooth, silky hair — silicone-free and vegan.Frizz control, intense shine — naturally smooth!Key Benefits:Deeply nourishes for silky-smooth hair;Controls frizz and enhances shine for up to 4 days;Lightweight, silicone-free, and vegan formula;Follows the Keratina Smoothing Method for lasting sleekness.Active Ingredients:Vegetable Keratin Plumbing Complex: strengthens and smooths hair.Argan Oil: deeply hydrates and boosts shine.Garnier Fructis Liso Keratina Mask Nº3 is the ultimate treatment for frizz-prone hair. Its rich yet lightweight formula smooths every strand without heaviness, leaving hair soft, shiny, and perfectly manageable. Complete the routine with Serum N°4 for up to 10 days of straight, glossy hair."
019961SE,Retisil Cream,Sesderma,Anti-Ageing Global,skin/global-anti-aging/specific-moisturizers,Retisil Intensive Pro-Aging Cream,"Retisil Intensive Pro-Aging Cream is a moisturizing cream for normal to combination skin.A Pro-Aging Cream!Specially formulated for skin showing advanced signs of aging (wrinkles, sagging, and other signs such as spots, uneven texture, dehydration…).With a firming and anti-wrinkle action that does not cause irritation, provided by:HPR, organic silicon, progeline, syn tacks, syn coll, centella, BPM and MBPM hyaluronic acid, horsetail;With antioxidant action, provided by:Organic silicon, asian centella, tocopherol, horsetail;Renewing action, evens skin tone, and enhances luminosity, improving skin texture provided by:HPR;Reduce the appearance of spots, provided by:HPR and rosehip oil;Promotes hydration due to ingredients:BPM and MBPM hyaluronic acid, rosehip oil, sweet almond oil, glycerin.The Retisil range is a Pro-Aging line formulated with the innovative hydroxypinacolone retinoate (HPR) in combination with organic silicon and other powerful actives, for the comprehensive care of all signs of aging.","Sesderma Retisil Cream Retisil Intensive Pro-Aging Cream is a moisturizing cream for normal to combination skin.A Pro-Aging Cream!Specially formulated for skin showing advanced signs of aging (wrinkles, sagging, and other signs such as spots, uneven texture, dehydration…).With a firming and anti-wrinkle action that does not cause irritation, provided by:HPR, organic silicon, progeline, syn tacks, syn coll, centella, BPM and MBPM hyaluronic acid, horsetail;With antioxidant action, provided by:Organic silicon, asian centella, tocopherol, horsetail;Renewing action, evens skin tone, and enhances luminosity, improving skin texture provided by:HPR;Reduce the appearance of spots, provided by:HPR and rosehip oil;Promotes hydration due to ingredients:BPM and MBPM hyaluronic acid, rosehip oil, sweet almond oil, glycerin.The Retisil range is a Pro-Aging line formulated with the innovative hydroxypinacolone retinoate (HPR) in combination with organic silicon and other powerful actives, for the comprehensive care of all signs of aging."
025165QV,AHA Boosting Toner,VvBetter,Normal Skin,skin/cleansers-tonners/normal-skin,AHA Boosting Face Toner,"Reveal radiant, smooth skin with Vvbetter AHA Boosting Face Toner — your go-to for gentle exfoliation, hydration, and skin renewal.Glow Gently, Shine Daily!Key Benefits:Gently exfoliates with glycolic and lactic acidBrightens dark spots and evens skin toneCalms and regeneratesDeeply hydratespH-balanced (5.5) and suitable for sensitive skinFree from parabens, sulfates, and glutenIdeal for twice-daily useActive Ingredients:Glycolic Acid: Boosts glow, smooths texture, reduces poresLactic Acid: Softens fine lines, improves elasticity<i>Centella Asiatica</i>: Heals, soothes, and firms skinPropolis Extract: Regenerates and calms inflammationHyaluronic Acid: Deep hydration, plumps skinBetaine and Glycerin: Lock in moisture, enhance softnessVvbetter AHA Boosting Face Toner is the ultimate skin reset — exfoliating gently, hydrating deeply, and soothing even the most sensitive skin. With powerful yet balanced ingredients, it renews your skin’s glow without irritation. A must-have step in your daily beauty ritual.","VvBetter AHA Boosting Toner Reveal radiant, smooth skin with Vvbetter AHA Boosting Face Toner — your go-to for gentle exfoliation, hydration, and skin renewal.Glow Gently, Shine Daily!Key Benefits:Gently exfoliates with glycolic and lactic acidBrightens dark spots and evens skin toneCalms and regeneratesDeeply hydratespH-balanced (5.5) and suitable for sensitive skinFree from parabens, sulfates, and glutenIdeal for twice-daily useActive Ingredients:Glycolic Acid: Boosts glow, smooths texture, reduces poresLactic Acid: Softens fine lines, improves elasticity<i>Centella Asiatica</i>: Heals, soothes, and firms skinPropolis Extract: Regenerates and calms inflammationHyaluronic Acid: Deep hydration, plumps skinBetaine and Glycerin: Lock in moisture, enhance softnessVvbetter AHA Boosting Face Toner is the ultimate skin reset — exfoliating gently, hydrating deeply, and soothing even the most sensitive skin. With powerful yet balanced ingredients, it renews your skin’s glow without irritation. A must-have step in your daily beauty ritual."
022507JI,Secatriz Salic Gel Cleanser,Dermagius,Cleansers & Tonics,skin/cleansers-tonners/combination-to-oily-skin,Secatriz Salic Gel Cleanser Liquid Soap,"Transform your skincare routine with Dermagius Secatriz Salic Gel Cleanser. Deep-clean, control oil, and prevent acne with every wash.Purify your skin, perfect your glow!Key Benefits:Deep cleansing: Effectively removes impurities and excess oil for a fresh, clean feel.Oil control: Regulates sebum production, reducing shine.Pore care: Unclogs pores to prevent breakouts and blackheads.Imperfection prevention: Helps reduce acne and prevents new blemishes.Balanced skin: Leaves skin refreshed without dryness.Active Ingredient: 2% Salicylic Acid – powerful yet gentle pore purifier with anti-inflammatory and antimicrobial properties.Dermagius Secatriz Salic Gel Cleanser is a must-have for oily and acne-prone skin. Its vegan, alcohol-free formula ensures a clear, balanced complexion, making it the perfect addition to any beauty routine.","Dermagius Secatriz Salic Gel Cleanser Transform your skincare routine with Dermagius Secatriz Salic Gel Cleanser. Deep-clean, control oil, and prevent acne with every wash.Purify your skin, perfect your glow!Key Benefits:Deep cleansing: Effectively removes impurities and excess oil for a fresh, clean feel.Oil control: Regulates sebum production, reducing shine.Pore care: Unclogs pores to prevent breakouts and blackheads.Imperfection prevention: Helps reduce acne and prevents new blemishes.Balanced skin: Leaves skin refreshed without dryness.Active Ingredient: 2% Salicylic Acid – powerful yet gentle pore purifier with anti-inflammatory and antimicrobial properties.Dermagius Secatriz Salic Gel Cleanser is a must-have for oily and acne-prone skin. Its vegan, alcohol-free formula ensures a clear, balanced complexion, making it the perfect addition to any beauty routine."
017406NB,Reusable Organic Cotton Cleansing Pads ,Naturbrush,Makeup Removers,makeup/complexion/makeup-removers,Reusable Organic Cotton Cleansing Pads,"Reusable Organic Cotton Cleansing Pads are100% made of Bio Cotton!   Reusable, Resistant &amp; Hypoallergenic!   A sustainable, biodegradable and ecological option.   Cotton is organic, and grown without toxic components.  Adapted for all skin types, especially the most sensitive or irritating.","Naturbrush Reusable Organic Cotton Cleansing Pads  Reusable Organic Cotton Cleansing Pads are100% made of Bio Cotton!   Reusable, Resistant &amp; Hypoallergenic!   A sustainable, biodegradable and ecological option.   Cotton is organic, and grown without toxic components.  Adapted for all skin types, especially the most sensitive or irritating."
017485OX,Travel Kit Candy Lover,Curaprox,Toothbrushes & Accessories,health-care/oral-health/toothbrushes-accessories,Curaprox Travel Kit,"An exceptional travel kit for you!With 6 different kits for a perfect oral health!The kit contains:1 unit of CS 5460 travel toothbrush;1 unit of Be you toothpaste (with different flavors) with 10 mL;2 units of CPS prime brushes (size 07 and 09).Your favorite Curaprox products in your suitcase, your hand luggage - or in your pocket!","Curaprox Travel Kit Candy Lover An exceptional travel kit for you!With 6 different kits for a perfect oral health!The kit contains:1 unit of CS 5460 travel toothbrush;1 unit of Be you toothpaste (with different flavors) with 10 mL;2 units of CPS prime brushes (size 07 and 09).Your favorite Curaprox products in your suitcase, your hand luggage - or in your pocket!"
018336TG,King C. Gillette Beard and Face Wash,Gillette,Cleansers & Tonics,men/skin/cleansers-tonners,King C. Gillette Beard and Face Wash,"Enriched with mild ingredients, King C. Gillette Beard and Face Wash removes impurities and excess oiliness while providing nourishment to dry areas, thanks to the infusion of Argan and Coconut Oils.Let your beard and face indulge in the invigorating blend of ingredients, leaving you feeling refreshed and revitalized!Experience the rejuvenating power of King C. Gillette Beard &amp; Face Wash, a gentle yet effective cleanser designed to soothe, hydrate, and purify.A soothing and hydrating formula that cleanses and balances dry areas. Removes daily impurities, excess oiliness, and dead skin cells. Acts as a shampoo and conditioner for your beard and face. Moisturizing ingredients like Argan and Coconut Oils preserve the freshness of facial hair.Suitable for all beard lengths, enhancing texture, comfort, and softness. Leaves a pleasant and long-lasting masculine fragrance.","Gillette King C. Gillette Beard and Face Wash Enriched with mild ingredients, King C. Gillette Beard and Face Wash removes impurities and excess oiliness while providing nourishment to dry areas, thanks to the infusion of Argan and Coconut Oils.Let your beard and face indulge in the invigorating blend of ingredients, leaving you feeling refreshed and revitalized!Experience the rejuvenating power of King C. Gillette Beard &amp; Face Wash, a gentle yet effective cleanser designed to soothe, hydrate, and purify.A soothing and hydrating formula that cleanses and balances dry areas. Removes daily impurities, excess oiliness, and dead skin cells. Acts as a shampoo and conditioner for your beard and face. Moisturizing ingredients like Argan and Coconut Oils preserve the freshness of facial hair.Suitable for all beard lengths, enhancing texture, comfort, and softness. Leaves a pleasant and long-lasting masculine fragrance."
018134HK,Sparkling Lemon Cleansing Water,Holika Holika,Normal Skin,skin/cleansers-tonners/normal-skin,Sparkling Lemon Cleansing Water,"Sparkling Lemon Cleansing Water, part of a mineral-enriched skincare range, effectively removes impurities and makeup residues while maintaining the skin's moisture barrier.Leaves the skin refreshed, purified, hydrated and protected!Its vitamin C content, known for its antioxidant properties, helps to improve skin tone and texture by promoting collagen production and preventing photoaging. The lightweight formula of the cleansing water effortlessly removes daily impurities and makeup, leaving the skin refreshed, purified, and protected with an invisible moisturizing film.","Holika Holika Sparkling Lemon Cleansing Water Sparkling Lemon Cleansing Water, part of a mineral-enriched skincare range, effectively removes impurities and makeup residues while maintaining the skin's moisture barrier.Leaves the skin refreshed, purified, hydrated and protected!Its vitamin C content, known for its antioxidant properties, helps to improve skin tone and texture by promoting collagen production and preventing photoaging. The lightweight formula of the cleansing water effortlessly removes daily impurities and makeup, leaving the skin refreshed, purified, and protected with an invisible moisturizing film."
007569GA,Pureté Sublime Renewing Peeling All Skin Types ,Galenic,Face Exfoliators,skin/masks-exfoliators/exfoliating,Pureté Sublime Renewing Peeling,"All skin types can benefit from a product with peeling effect andin the case of oily to combinationskin, this benefit is even more visible!  The Puret&eacute; sublime renewing peelingallows not only combat the appearance of enlarged pores and skin thickness, while it also provides a smoothing action on wrinkles, increases radiance and targetshyperpigmentation (dark spots).  A genuine beauty treatment that softens the surface of the skin to help preserve its youth, acting smoothly without compromising comfort.   Renewed and smoothed skin!   This product has a trio of exfoliating acids (lactic acid, salicylic acid and glycolic acid), which allownot only to remove the dead cells  surface layer; but also toexfoliate inside the pores and allow theirclearance.  Additionally, and to counterbalance the irritating potential of the products  ingredients; this product also features bisabolol, glycerin and shea butter, which will soothe and moisturize your skin.  As the rest of this care range, this renewing peelingcontains Pyrenees graniti waterwhich has astringent properties thanks to it s contentin minerals and trace elements.","Galenic Pureté Sublime Renewing Peeling All Skin Types  All skin types can benefit from a product with peeling effect andin the case of oily to combinationskin, this benefit is even more visible!  The Puret&eacute; sublime renewing peelingallows not only combat the appearance of enlarged pores and skin thickness, while it also provides a smoothing action on wrinkles, increases radiance and targetshyperpigmentation (dark spots).  A genuine beauty treatment that softens the surface of the skin to help preserve its youth, acting smoothly without compromising comfort.   Renewed and smoothed skin!   This product has a trio of exfoliating acids (lactic acid, salicylic acid and glycolic acid), which allownot only to remove the dead cells  surface layer; but also toexfoliate inside the pores and allow theirclearance.  Additionally, and to counterbalance the irritating potential of the products  ingredients; this product also features bisabolol, glycerin and shea butter, which will soothe and moisturize your skin.  As the rest of this care range, this renewing peelingcontains Pyrenees graniti waterwhich has astringent properties thanks to it s contentin minerals and trace elements."
015784LM,Superfood Day Cream ,Elemis,Dryness & Dehydration,skin/dehydration/specific-moisturizers,Superfood Day Cream Prebiotic,"Experience the power of Superfoods with Elemis Superfood Day Cream, enriched with Matcha Tea, Goji Berry, and Ginger for replenished, moisturized, and protected skin. Achieve an outdoor-fresh glow with this lightweight, vitamin-rich moisturizer.Replenish, moisturize, and protect - your daily dose of skin-nourishing goodness!Key Features:Provides vital hydration for an outdoor-fresh glow;Lightweight formula deeply moisturizes and balances skin;Rich in omega-rich extracts for nourished, radiant skin.Key Ingredients:Matcha Tea: Contains powerful antioxidants to combat free radicals and inflammation, promoting calm and radiant skin.Goji Berry Extract: Rich in vitamins, essential fatty acids, and antioxidants, it protects the skin's lipid barrier for nourished and healthy-looking skin.Ginger: Known for its warming and anti-spasmodic properties, ginger oil helps invigorate the skin and promote a healthy complexion.Transform your skincare routine with Elemis Superfood Day Cream. Packed with nutrient-rich Superfoods and antioxidant Matcha Tea, this moisturizer replenishes, moisturizes, and protects your skin, leaving it fresh, radiant, and healthy. Say hello to a dewy, outdoor-fresh glow every day!","Elemis Superfood Day Cream  Experience the power of Superfoods with Elemis Superfood Day Cream, enriched with Matcha Tea, Goji Berry, and Ginger for replenished, moisturized, and protected skin. Achieve an outdoor-fresh glow with this lightweight, vitamin-rich moisturizer.Replenish, moisturize, and protect - your daily dose of skin-nourishing goodness!Key Features:Provides vital hydration for an outdoor-fresh glow;Lightweight formula deeply moisturizes and balances skin;Rich in omega-rich extracts for nourished, radiant skin.Key Ingredients:Matcha Tea: Contains powerful antioxidants to combat free radicals and inflammation, promoting calm and radiant skin.Goji Berry Extract: Rich in vitamins, essential fatty acids, and antioxidants, it protects the skin's lipid barrier for nourished and healthy-looking skin.Ginger: Known for its warming and anti-spasmodic properties, ginger oil helps invigorate the skin and promote a healthy complexion.Transform your skincare routine with Elemis Superfood Day Cream. Packed with nutrient-rich Superfoods and antioxidant Matcha Tea, this moisturizer replenishes, moisturizes, and protects your skin, leaving it fresh, radiant, and healthy. Say hello to a dewy, outdoor-fresh glow every day!"
000454UR,Toléderm Control Soothing Care Cream ,Uriage,Sensitive & Intolerant Skin,skin/moisturisers/sensitive-intolerant-skin,Toléderm Control Soothing Care Cream,"With preventive and restorative action,Tol&eacute;derm Control Soothing Care Creamsoothes thediscomfortfeelings(stinging and redness) and moisturizes.  Increases the resistance of the skin and protects it from external aggressions, decreasing its reactivity.   Soothes and Moisturizes Reactive and intolerant,normal to combination skin    Its action is due to the specific active principles association based on polyuronides​ of algae and Uriage thermal water.   With along-lastingeffect, its non-oilytexture and the pack with dispenser allows an easy and hygienic use.  ","Uriage Toléderm Control Soothing Care Cream  With preventive and restorative action,Tol&eacute;derm Control Soothing Care Creamsoothes thediscomfortfeelings(stinging and redness) and moisturizes.  Increases the resistance of the skin and protects it from external aggressions, decreasing its reactivity.   Soothes and Moisturizes Reactive and intolerant,normal to combination skin    Its action is due to the specific active principles association based on polyuronides​ of algae and Uriage thermal water.   With along-lastingeffect, its non-oilytexture and the pack with dispenser allows an easy and hygienic use.  "
011564IE,Renew Shine Serum ,Senscience,Serums & Leave-in,hair/seruns-leave-in,Renew Shine Serum,"The Renew shine serum is indicated for fragile, brittle or dry hair, leaving hair shiny.   A glow burst!   Formulated with vitamins A and E, silk proteins and silicones, this serum protects hair, seals cuticle, repairs split endsand fights hair-frizz. The result is a soft, shiny and nourished hair!  ","Senscience Renew Shine Serum  The Renew shine serum is indicated for fragile, brittle or dry hair, leaving hair shiny.   A glow burst!   Formulated with vitamins A and E, silk proteins and silicones, this serum protects hair, seals cuticle, repairs split endsand fights hair-frizz. The result is a soft, shiny and nourished hair!  "
011039MD,Personalfit Flex Connector ,Medela,Breast Pumps,mom-baby/after-birth/breast-pumps,Personalfit Flex Connector,"With the Personalfit Flex connector you can extract milk in a more reclined and comfortable position.   Medela Flex Technology is a completely customized milk extraction experience!   With an anti-spill protection, it prevents the milk spilling into the tube and the motor, being easy to handle and clean.  Made with BPA-free materials.  Compatible with Swing Flex,Swing Maxi Flex,Freestyle flex milk extractors and Solo.","Medela Personalfit Flex Connector  With the Personalfit Flex connector you can extract milk in a more reclined and comfortable position.   Medela Flex Technology is a completely customized milk extraction experience!   With an anti-spill protection, it prevents the milk spilling into the tube and the motor, being easy to handle and clean.  Made with BPA-free materials.  Compatible with Swing Flex,Swing Maxi Flex,Freestyle flex milk extractors and Solo."
020539XG,Fructis Hydra Curls Strengthening Shampoo,Garnier,Shampoo,hair/curly-hair/shampoo,Fructis Hydra Curls Strengthening Shampoo Anti-Frizz,"Fructis Hydra Curls Strengthening Shampoo, formulated with bamboo extract and filloxane, nourishes curly or wavy hair for defined curls and 96h anti-frizz and anti-humidity protection.Say goodbye to frizz and hello to silky, soft curls!Key benefits:Formulated with bamboo extract and filloxane to strengthen curls;Nourishes hair for defined curls and 96h anti-frizz and anti-humidity protection;Say goodbye to frizz and hello to silky, soft curls;Suitable for curly or wavy hair types;Experience nourished, defined curls.Nourish, define, and defy frizz with Fructis Hydra Curls Strengthening Shampoo. Experience 96h anti-frizz and anti-humidity protection for beautifully defined curls!","Garnier Fructis Hydra Curls Strengthening Shampoo Fructis Hydra Curls Strengthening Shampoo, formulated with bamboo extract and filloxane, nourishes curly or wavy hair for defined curls and 96h anti-frizz and anti-humidity protection.Say goodbye to frizz and hello to silky, soft curls!Key benefits:Formulated with bamboo extract and filloxane to strengthen curls;Nourishes hair for defined curls and 96h anti-frizz and anti-humidity protection;Say goodbye to frizz and hello to silky, soft curls;Suitable for curly or wavy hair types;Experience nourished, defined curls.Nourish, define, and defy frizz with Fructis Hydra Curls Strengthening Shampoo. Experience 96h anti-frizz and anti-humidity protection for beautifully defined curls!"
021659VB,Good Chocolate Mood Candle,Veoli Botanica,Dryness & Dehydration,body/moisturisers/dryness-dehydration,Good Chocolate Mood Aromatic Candle for Face and Body Massage,"Discover the ultimate self-care luxury with Veoli Botanica's Good Chocolate Mood Aromatic Candle, a vegan massage candle infused with 40% Shea Butter and Vitamin E.Ignite your senses, indulge your skin!Benefits:Deeply moisturizes, regenerates, and softens skinAlleviates roughness and drynessProvides a protective barrier and smooth glide during massageFirms and restores skin elasticityRelaxes and improves moodKey Active Ingredients:Shea Butter: Rich in vitamins A, E, and F; strengthens the skin’s intercellular cementCandelilla Wax: Vegan alternative to beeswax; moisturizes and adds a healthy shineSafflower Seed Oil: Light and easily absorbed; supports the hydrolipidic barrierVitamin E: Inhibits skin aging and strengthens the epidermal barrierVeoli Botanica's Good Chocolate Mood Aromatic Candle is a must-have for anyone seeking a luxurious, multi-sensory skincare experience. Ideal for all skin types, especially mature, dry, and dehydrated skin, it provides intensive care and relaxation, making it an essential addition to your beauty routine.","Veoli Botanica Good Chocolate Mood Candle Discover the ultimate self-care luxury with Veoli Botanica's Good Chocolate Mood Aromatic Candle, a vegan massage candle infused with 40% Shea Butter and Vitamin E.Ignite your senses, indulge your skin!Benefits:Deeply moisturizes, regenerates, and softens skinAlleviates roughness and drynessProvides a protective barrier and smooth glide during massageFirms and restores skin elasticityRelaxes and improves moodKey Active Ingredients:Shea Butter: Rich in vitamins A, E, and F; strengthens the skin’s intercellular cementCandelilla Wax: Vegan alternative to beeswax; moisturizes and adds a healthy shineSafflower Seed Oil: Light and easily absorbed; supports the hydrolipidic barrierVitamin E: Inhibits skin aging and strengthens the epidermal barrierVeoli Botanica's Good Chocolate Mood Aromatic Candle is a must-have for anyone seeking a luxurious, multi-sensory skincare experience. Ideal for all skin types, especially mature, dry, and dehydrated skin, it provides intensive care and relaxation, making it an essential addition to your beauty routine."
008705GR,5-Htp for Good Mood and Relaxation Promotion ,Solgar,Sleep & Anxiety,health-care/sleep-anxiety,5-Htp for Good Mood and Relaxation Promotion,"Being a serotonin percursor, which is an essential neurotransmitter to the central nervous system functioning; 5-HTP is an importantamino acid for proper brain function.  In this sense, Solgar developed the 5-HTP supplement by extraction of the<i>Griffonia simplicifolia</i>bean.   Support for physical and mental relaxation   Additionally, this supplement contains:   	Valerian extract (100 mg),that promotes sleep. 	Magnesium (50 mg), whichis important for muscle relaxation; 	Vitamin B6 (10 mg), contributing for the normal functioning of the nervous system.   Suitable for vegetarians.","Solgar 5-Htp for Good Mood and Relaxation Promotion  Being a serotonin percursor, which is an essential neurotransmitter to the central nervous system functioning; 5-HTP is an importantamino acid for proper brain function.  In this sense, Solgar developed the 5-HTP supplement by extraction of the<i>Griffonia simplicifolia</i>bean.   Support for physical and mental relaxation   Additionally, this supplement contains:   	Valerian extract (100 mg),that promotes sleep. 	Magnesium (50 mg), whichis important for muscle relaxation; 	Vitamin B6 (10 mg), contributing for the normal functioning of the nervous system.   Suitable for vegetarians."
008115AA,Wanted By Night Eau de Parfum ,Azzaro,Fragrances,men/perfumes/fragrances,Wanted By Night Eau de Parfum for Him,"Azzaro Wanted by Night - Explosive, mysterious and sexy.   An Eau de Parfum that stirs desire!   A fragrance that turns into the perfect wardrobe at night, for any man to be sexier and more fearless.","Azzaro Wanted By Night Eau de Parfum  Azzaro Wanted by Night - Explosive, mysterious and sexy.   An Eau de Parfum that stirs desire!   A fragrance that turns into the perfect wardrobe at night, for any man to be sexier and more fearless."
021643TZ,Curl 38 Eyelash Curler,Tweezerman,Accessories & Brushes,makeup/eyes-brows/accessories-brushes,Curl 38 Eyelash Curler for Almond-Shaped or Deep-Set Eyes,"Achieve perfectly curled lashes with Tweezerman Curl 38 Eyelash Curler, designed for almond-shaped or deep-set eyes. Includes 3 replacement pads for optimal performance.Flawlessly curled lashes, every time!Key Benefits:38° angled top bar, ideal for almond-shaped or deep-set eyes;Narrow opening reaches every lash without pinching or bending;Thick, rounded silicone pads prevent crimping and irritation;Includes 3 replacement pads for long-lasting use.The Tweezerman Curl 38 Eyelash Curler is a must-have tool for achieving flawlessly curled lashes. Its innovative design features a 38° angled top bar and a narrow opening to reach every lash without pinching or bending. With optimal control and precision, this curler ensures beautifully curled lashes with every use.Plus, it comes with 3 replacement pads, making it a long-lasting addition to your beauty routine. For best results, replace the curler after one year.","Tweezerman Curl 38 Eyelash Curler Achieve perfectly curled lashes with Tweezerman Curl 38 Eyelash Curler, designed for almond-shaped or deep-set eyes. Includes 3 replacement pads for optimal performance.Flawlessly curled lashes, every time!Key Benefits:38° angled top bar, ideal for almond-shaped or deep-set eyes;Narrow opening reaches every lash without pinching or bending;Thick, rounded silicone pads prevent crimping and irritation;Includes 3 replacement pads for long-lasting use.The Tweezerman Curl 38 Eyelash Curler is a must-have tool for achieving flawlessly curled lashes. Its innovative design features a 38° angled top bar and a narrow opening to reach every lash without pinching or bending. With optimal control and precision, this curler ensures beautifully curled lashes with every use.Plus, it comes with 3 replacement pads, making it a long-lasting addition to your beauty routine. For best results, replace the curler after one year."
